交通类型代码,交通类型中文,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,地铁,222,13.84092281,100.51331261,126
1,地铁,222,13.840103032,100.514251436,127
1,地铁,222,13.839118661,100.51542171,128
1,地铁,222,13.838745169,100.515884604,129
1,地铁,222,13.837988687,100.516781053,130
1,地铁,222,13.837083437,100.51787961,131
1,地铁,222,13.836149697,100.518968388,132
1,地铁,222,13.833908706,100.521647956,133
1,地铁,222,13.832531815,100.523271343,134
1,地铁,222,13.831351165,100.524712182,135
1,地铁,222,13.830999817,100.525116399,136
1,地铁,222,13.830303451,100.525947651,137
1,地铁,222,13.829097466,100.527395009,138
1,地铁,222,13.828575187,100.528040452,139
1,地铁,222,13.825669396,100.531499116,140
1,地铁,222,13.825422498,100.53176968,141
1,地铁,222,13.82522941,100.53194245,142
1,地铁,222,13.825001503,100.53211848,143
1,地铁,222,13.824764099,100.532281471,144
1,地铁,222,13.824425403,100.53247054,145
1,地铁,222,13.824032895,100.532627011,146
1,地铁,222,13.823621394,100.532731325,147
1,地铁,222,13.823289027,100.532763924,148
1,地铁,222,13.82272875,100.532776963,149
1,地铁,222,13.818645337,100.53229125,150
1,地铁,222,13.814644155,100.531799018,151
1,地铁,222,13.812032587,100.531499116,152
1,地铁,222,13.810747369,100.531329605,153
1,地铁,222,13.809110762,100.531134016,154
1,地铁,222,13.806134467,100.530762239,155
1,地铁,223,13.806134467,100.530762239,1
1,地铁,223,13.809110762,100.531134016,2
1,地铁,223,13.810747369,100.531329605,3
1,地铁,223,13.812032587,100.531499116,4
1,地铁,223,13.814644155,100.531799018,5
1,地铁,223,13.818645337,100.53229125,6
1,地铁,223,13.82272875,100.532776963,7
1,地铁,223,13.823289027,100.532763924,8
1,地铁,223,13.823621394,100.532731325,9
1,地铁,223,13.824032895,100.532627011,10
1,地铁,223,13.824425403,100.53247054,11
1,地铁,223,13.824764099,100.532281471,12
1,地铁,223,13.825001503,100.53211848,13
1,地铁,223,13.82522941,100.53194245,14
1,地铁,223,13.825422498,100.53176968,15
1,地铁,223,13.825669396,100.531499116,16
1,地铁,223,13.828575187,100.528040452,17
1,地铁,223,13.829097466,100.527395009,18
1,地铁,223,13.830303451,100.525947651,19
1,地铁,223,13.830999817,100.525116399,20
1,地铁,223,13.831351165,100.524712182,21
1,地铁,223,13.832531815,100.523271343,22
1,地铁,223,13.833908706,100.521647956,23
1,地铁,223,13.836149697,100.518968388,24
1,地铁,223,13.837083437,100.51787961,25
1,地铁,223,13.837988687,100.516781053,26
1,地铁,223,13.838745169,100.515884604,27
1,地铁,223,13.839118661,100.51542171,28
1,地铁,223,13.840103032,100.514251436,29
1,地铁,223,13.84092281,100.51331261,30
1,地铁,223,13.841324785,100.512804079,31
1,地铁,223,13.841657126,100.512513955,32
1,地铁,223,13.842097082,100.512233611,33
1,地铁,223,13.842511716,100.512060841,34
1,地铁,223,13.842901027,100.511979346,35
1,地铁,223,13.843217541,100.511940228,36
1,地铁,223,13.843597356,100.511956527,37
1,地铁,223,13.843796759,100.511976086,38
1,地铁,223,13.843980336,100.512034762,39
1,地铁,223,13.844195564,100.512090179,40
1,地铁,223,13.844486755,100.512214052,41
1,地铁,223,13.844720973,100.512347705,42
1,地铁,223,13.845493258,100.512875795,43
1,地铁,223,13.846350999,100.51330935,44
1,地铁,223,13.846911218,100.513622292,45
1,地铁,223,13.847268872,100.513876558,46
1,地铁,223,13.850484566,100.516070413,47
1,地铁,223,13.853352067,100.518042601,48
1,地铁,223,13.853947085,100.51841422,49
1,地铁,223,13.854273078,100.518554392,50
1,地铁,223,13.854561091,100.518632627,51
1,地铁,223,13.854814289,100.518678265,52
1,地铁,223,13.855054827,100.518701083,53
1,地铁,223,13.855311189,100.518691304,54
1,地铁,223,13.855507417,100.518671745,55
1,地铁,223,13.855760614,100.518622848,56
1,地铁,223,13.855972666,100.518560911,57
1,地铁,223,13.856210037,100.518469637,58
1,地铁,223,13.856504378,100.518329465,59
1,地铁,223,13.856865182,100.518130616,60
1,地铁,223,13.857476015,100.517847012,61
1,地铁,223,13.858501452,100.517338481,62
1,地铁,223,13.858745151,100.517188529,63
1,地铁,223,13.858954036,100.517012499,64
1,地铁,223,13.859204064,100.516754974,65
1,地铁,223,13.859371804,100.516536566,66
1,地铁,223,13.859539545,100.516282301,67
1,地铁,223,13.859729439,100.515835706,68
1,地铁,223,13.859780077,100.515675975,69
1,地铁,223,13.85984654,100.515382592,70
1,地铁,223,13.860473191,100.510769954,71
1,地铁,223,13.860583962,100.509909363,72
1,地铁,223,13.861099839,100.506923373,73
1,地铁,223,13.86135936,100.505723761,74
1,地铁,223,13.861637869,100.504631723,75
1,地铁,223,13.862014489,100.503256082,76
1,地铁,223,13.862505044,100.501798945,77
1,地铁,223,13.862875334,100.500840559,78
1,地铁,223,13.863220303,100.499914772,79
1,地铁,223,13.86362224,100.498910749,80
1,地铁,223,13.864147605,100.497711137,81
1,地铁,223,13.864479913,100.497016797,82
1,地铁,223,13.868353646,100.489584419,83
1,地铁,223,13.868980273,100.488420665,84
1,地铁,223,13.869572086,100.487260171,85
1,地铁,223,13.869828432,100.486608209,86
1,地铁,223,13.869983506,100.486142055,87
1,地铁,223,13.870182886,100.485434675,88
1,地铁,223,13.87033163,100.484795752,89
1,地铁,223,13.87039809,100.484342637,90
1,地铁,223,13.870436067,100.484000357,91
1,地铁,223,13.870483538,100.483358173,92
1,地铁,223,13.870496197,100.482804005,93
1,地铁,223,13.870467715,100.482171601,94
1,地铁,223,13.870211369,100.479280145,95
1,地铁,223,13.870116426,100.477897984,96
1,地铁,223,13.869698677,100.472822453,97
1,地铁,223,13.869638546,100.4719912,98
1,地铁,223,13.869632217,100.471388134,99
1,地铁,223,13.869670194,100.470605779,100
1,地铁,223,13.869799949,100.469598496,101
1,地铁,223,13.869939199,100.468959572,102
1,地铁,223,13.870236687,100.467733882,103
1,地铁,223,13.870730389,100.465807331,104
1,地铁,223,13.870989899,100.464858725,105
1,地铁,223,13.871154466,100.464311077,106
1,地铁,223,13.871243079,100.464047032,107
1,地铁,223,13.871432964,100.46355154,108
1,地铁,223,13.871777921,100.462769184,109
1,地铁,223,13.872208326,100.461843397,110
1,地铁,223,13.873053308,100.460063538,111
1,地铁,223,13.874005888,100.457908801,112
1,地铁,223,13.875876225,100.453726459,113
1,地铁,223,13.876135729,100.453097314,114
1,地铁,223,13.876464855,100.452070473,115
1,地铁,223,13.876607266,100.451470667,116
1,地铁,223,13.876752841,100.450795885,117
1,地铁,223,13.876831958,100.45036233,118
1,地铁,223,13.876866769,100.450052647,119
1,地铁,223,13.876892086,100.449723406,120
1,地铁,223,13.876920568,100.44878132,121
1,地铁,223,13.876904745,100.448188033,122
1,地铁,223,13.876161046,100.438428149,123
1,地铁,223,13.876116741,100.437681651,124
1,地铁,223,13.875790778,100.433336318,125
1,地铁,223,13.875651532,100.431680332,126
1,地铁,223,13.875401521,100.428264047,127
1,地铁,223,13.874648324,100.418595436,128
1,地铁,223,13.874480594,100.416310306,129
1,地铁,223,13.874420465,100.41536496,130
1,地铁,223,13.874420465,100.415052018,131
1,地铁,223,13.874445783,100.414520668,132
1,地铁,223,13.874512241,100.413982799,133
1,地铁,223,13.8745787,100.41361118,134
1,地铁,223,13.874702123,100.413164585,135
1,地铁,223,13.874854029,100.412685393,136
1,地铁,223,13.87505657,100.412186641,137
1,地铁,223,13.87511037,100.412072547,138
1,地铁,223,13.875613556,100.411192397,139
1,地铁,223,13.875790778,100.41096421,140
1,地铁,223,13.876104082,100.410631709,141
1,地铁,223,13.876392068,100.410390483,142
1,地铁,223,13.876756005,100.410132958,143
1,地铁,223,13.876987027,100.409989526,144
1,地铁,223,13.877293999,100.409842834,145
1,地铁,223,13.877705406,100.409699402,146
1,地铁,223,13.878164281,100.40956575,147
1,地铁,223,13.87835416,100.409533152,148
1,地铁,223,13.878559862,100.409510333,149
1,地铁,223,13.880711813,100.409347342,150
1,地铁,223,13.883230836,100.409115896,151
1,地铁,223,13.885737174,100.40886815,152
1,地铁,223,13.888037791,100.408656262,153
1,地铁,223,13.890676985,100.408398736,154
1,地铁,223,13.892495769,100.408238868,155
1,地铁,226,13.806197246,100.530808205,1
1,地铁,226,13.805982822,100.532232363,2
1,地铁,226,13.805898575,100.532901092,3
1,地铁,226,13.805814327,100.53342523,4
1,地铁,226,13.80562828,100.534068655,5
1,地铁,226,13.805375537,100.534863899,6
1,地铁,226,13.805091201,100.53549648,7
1,地铁,226,13.804062672,100.537444829,8
1,地铁,226,13.803557182,100.538460573,9
1,地铁,226,13.803210958,100.539239433,10
1,地铁,226,13.803210957778317,100.5392394334987,11
1,地铁,226,13.802872663,100.540000455,12
1,地铁,226,13.802388232,100.541034273,13
1,地铁,226,13.801749344,100.542566926,14
1,地铁,226,13.801401817,100.543311564,15
1,地铁,226,13.801212256,100.543607973,16
1,地铁,226,13.800920893,100.543954989,17
1,地铁,226,13.800496136,100.544273086,18
1,地铁,226,13.799520243,100.544710471,19
1,地铁,226,13.799000702,100.544967118,20
1,地铁,226,13.798533815,100.545310519,21
1,地铁,226,13.798151178,100.545671994,22
1,地铁,226,13.797982678,100.545856346,23
1,地铁,226,13.797803645,100.546188902,24
1,地铁,226,13.797687801,100.546723885,25
1,地铁,226,13.797701843,100.547978202,26
1,地铁,226,13.797708471988045,100.54817349364778,27
1,地铁,226,13.797708472,100.548173494,28
1,地铁,226,13.797782583,100.550356706,29
1,地铁,226,13.797803645,100.550573591,30
1,地铁,226,13.797845771,100.550754328,31
1,地铁,226,13.797954594,100.550974828,32
1,地铁,226,13.798059907,100.551097729,33
1,地铁,226,13.798709337,100.551444745,34
1,地铁,226,13.799569389,100.551827908,35
1,地铁,226,13.801264912,100.552764128,36
1,地铁,226,13.802848406878827,100.55359164793667,37
1,地铁,226,13.802848407,100.553591648,38
1,地铁,226,13.804073203,100.554231715,39
1,地铁,226,13.805656363,100.555128172,40
1,地铁,226,13.806765621,100.555720991,41
1,地铁,226,13.8085664,100.556660825,42
1,地铁,226,13.809496621,100.55701507,43
1,地铁,226,13.810862109,100.557423537,44
1,地铁,226,13.812308324,100.557763323,45
1,地铁,226,13.81256106,100.557857307,46
1,地铁,226,13.812855918,100.558001896,47
1,地铁,226,13.813084081,100.558186249,48
1,地铁,226,13.813298204,100.558435666,49
1,地铁,226,13.813501796,100.55874292,50
1,地铁,226,13.813596571,100.55894896,51
1,地铁,226,13.813670285,100.559310435,52
1,地铁,226,13.813680816,100.559628533,53
1,地铁,226,13.813663265,100.559841803,54
1,地铁,226,13.813610612,100.560055073,55
1,地铁,226,13.813508816,100.560351482,56
1,地铁,226,13.813183480175855,100.56092057669238,57
1,地铁,226,13.81318348,100.560920577,58
1,地铁,226,13.812192487,100.562654076,59
1,地铁,226,13.810823496,100.565151866,60
1,地铁,226,13.807962632,100.570259504,61
1,地铁,226,13.807028894,100.571947591,62
1,地铁,226,13.80647260410116,100.57292285682264,63
1,地铁,226,13.806472604,100.572922857,64
1,地铁,226,13.806049518,100.573664596,65
1,地铁,226,13.805761673,100.574156202,66
1,地铁,226,13.805593177,100.574373087,67
1,地铁,226,13.805386068,100.574582742,68
1,地铁,226,13.805133325,100.57474902,69
1,地铁,226,13.804775271,100.574864692,70
1,地铁,226,13.804497955,100.574908069,71
1,地铁,226,13.804403175,100.574915299,72
1,地铁,226,13.803272844,100.574879151,73
1,地铁,226,13.802293452,100.574806856,74
1,地铁,226,13.799481629,100.574622504,75
1,地铁,226,13.798852504318033,100.57459891801193,76
1,地铁,226,13.798852504,100.574598918,77
1,地铁,226,13.796589031,100.574514062,78
1,地铁,226,13.790845853,100.574217653,79
1,地铁,226,13.790068924,100.574183128,80
1,地铁,226,13.790068924,100.574183128,81
1,地铁,226,13.787998786,100.574091136,82
1,地铁,226,13.785060407,100.57397185,83
1,地铁,226,13.782150077,100.573838104,84
1,地铁,226,13.77866812,100.57366707,85
1,地铁,226,13.778668119553576,100.57366706997807,86
1,地铁,226,13.776410056,100.573556154,87
1,地铁,226,13.771663461,100.573357343,88
1,地铁,226,13.771056086,100.573299507,89
1,地铁,226,13.770638296,100.573194679,90
1,地铁,226,13.770097625,100.57303563,91
1,地铁,226,13.769205866,100.57261632,92
1,地铁,226,13.768756474,100.57231991,93
1,地铁,226,13.766375948102706,100.57041060208238,94
1,地铁,226,13.766375948,100.570410602,95
1,地铁,226,13.765277172,100.569529325,96
1,地铁,226,13.762658006,100.567497837,97
1,地铁,226,13.761695999,100.566789347,98
1,地铁,226,13.761144774,100.56645679,99
1,地铁,226,13.760691856,100.566207373,100
1,地铁,226,13.759789529,100.565860357,101
1,地铁,226,13.757753135,100.565357907,102
1,地铁,226,13.757350805,100.56527679,103
1,地铁,226,13.75735080474039,100.56527678994766,104
1,地铁,226,13.756910484,100.565188014,105
1,地铁,226,13.75518655,100.564775933,106
1,地铁,226,13.751429667,100.563948156,107
1,地铁,226,13.749337310274893,100.56345982306416,108
1,地铁,226,13.74933731,100.563459823,109
1,地铁,226,13.748641809,100.563297501,110
1,地铁,226,13.745959255,100.562701068,111
1,地铁,226,13.74344521,100.562129938,112
1,地铁,226,13.743269648,100.562097405,113
1,地铁,226,13.741131282,100.561931127,114
1,地铁,226,13.74033773,100.561902209,115
1,地铁,226,13.739491505,100.56181907,116
1,地铁,226,13.737660318,100.561512573,117
1,地铁,226,13.73766031770632,100.56151257295085,118
1,地铁,226,13.737483025,100.561482898,119
1,地铁,226,13.735913449,100.561186489,120
1,地铁,226,13.735235754,100.561045514,121
1,地铁,226,13.735028583,100.560973219,122
1,地铁,226,13.734659887,100.560770793,123
1,地铁,226,13.733750437,100.560134597,124
1,地铁,226,13.733311511,100.559914098,125
1,地铁,226,13.732833959,100.559783967,126
1,地铁,226,13.732630297,100.559762278,127
1,地铁,226,13.731752442,100.559773123,128
1,地铁,226,13.730059927,100.559852647,129
1,地铁,226,13.728911678,100.559979163,130
1,地铁,226,13.726625699,100.560282802,131
1,地铁,226,13.725201833,100.560516715,132
1,地铁,226,13.72459342,100.560593158,133
1,地铁,226,13.724369336,100.56063205,134
