交通类型代码,交通类型中文,agency_id,agency_name,agency_url,agency_timezone,agency_name_泰文,agency_name_英文
1,地铁,BEM,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด;Bangkok Expressway and Metro Public Company Limited,http://www.bemplc.co.th/,Asia/Bangkok,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด,Bangkok Expressway and Metro Public Company Limited
1,地铁,MRTA,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย;Mass Rapid Transit Authority of Thailand,https://www.mrta.co.th/,Asia/Bangkok,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย,Mass Rapid Transit Authority of Thailand
