序号,数据类型,相对路径,记录数,业务类别,说明,数据来源渠道,上游来源文件,交付批次,交付整理时间UTC
01,地点主数据,01_地点主数据/地点总表.csv,1273,酒店住宿,曼谷行政区内地点主表,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00
02,泰文名称,02_泰文名称/地点泰文翻译对照.csv,1273,酒店住宿,原始泰文名、翻译补充、展示名及复核标记,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00
03,酒店报价,03_酒店报价/历史酒店报价.csv,482,酒店住宿,历史价格快照，未实时核价,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00
04,评论样例,04_评论样例/历史评论样例.csv,2172,酒店住宿,历史评论样例，不是全部评论,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00
05,核验待补,05_核验待补/实时补采清单.csv,1273,酒店住宿,实时补采及字段核验任务,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00
06,边界审核,06_边界审核/曼谷边界外待审核.csv,0,酒店住宿,不计入曼谷主表的边界外或坐标待核验地点,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00
07,来源清单,07_来源清单/来源文件清单.csv,67,酒店住宿,输入文件、批次与SHA256,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00
08,异常核验,08_异常核验/来源异常核验.csv,0,酒店住宿,来源关联或字段异常,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00
