交通类型代码,交通类型中文,zone_id,stop_id,stop_name,stop_name_泰文,stop_name_英文,票价规则引用次数,映射状态
2,铁路,254,254,SRT ท่าแฉลบ;SRT Tha Chalaep,SRT ท่าแฉลบ,SRT Tha Chalaep,187,已匹配stops.zone_id
2,铁路,255,255,SRT ต้นสำโรง;SRT Ton Samrong,SRT ต้นสำโรง,SRT Ton Samrong,215,已匹配stops.zone_id
2,铁路,256,256,SRT นครปฐม;SRT Nakhon Pathom,SRT นครปฐม,SRT Nakhon Pathom,255,已匹配stops.zone_id
2,铁路,257,257,SRT พระราชวังสนามจันทร์;SRT Sanam Chandra Palace,SRT พระราชวังสนามจันทร์,SRT Sanam Chandra Palace,157,已匹配stops.zone_id
2,铁路,258,258,SRT โพรงมะเดื่อ;SRT Phrong Madua,SRT โพรงมะเดื่อ,SRT Phrong Madua,215,已匹配stops.zone_id
2,铁路,264,264,SRT ประดิพัทธ์;SRT Pra Dipat,SRT ประดิพัทธ์,SRT Pra Dipat,23,已匹配stops.zone_id
2,铁路,266,266,SRT กรุงเทพอภิวัฒน์;SRT Bangkok (Krung Thep Aphiwat),SRT กรุงเทพอภิวัฒน์,SRT Bangkok (Krung Thep Aphiwat),435,已匹配stops.zone_id
2,铁路,267,267,SRT นิคมรถไฟ กม.11;SRT Nikhom Rotphai Khomo Sip-et,SRT นิคมรถไฟ กม.11,SRT Nikhom Rotphai Khomo Sip-et,293,已匹配stops.zone_id
2,铁路,268,268,SRT จรัญสนิทวงศ์;SRT Jaran Sanitwong,SRT จรัญสนิทวงศ์,SRT Jaran Sanitwong,221,已匹配stops.zone_id
2,铁路,269,269,SRT พุทธมณฑล สาย 2;SRT Phuttamonthon Sai 2,SRT พุทธมณฑล สาย 2,SRT Phuttamonthon Sai 2,184,已匹配stops.zone_id
2,铁路,270,270,SRT วงเวียนใหญ่;SRT Wongwian Yai,SRT วงเวียนใหญ่,SRT Wongwian Yai,946,已匹配stops.zone_id
2,铁路,271,271,SRT ตลาดพลู;SRT Talat Phlu,SRT ตลาดพลู,SRT Talat Phlu,946,已匹配stops.zone_id
2,铁路,272,272,SRT คลองต้นไทร;SRT Khlong Ton Sai,SRT คลองต้นไทร,SRT Khlong Ton Sai,188,已匹配stops.zone_id
2,铁路,273,273,SRT จอมทอง;SRT Chom Thong,SRT จอมทอง,SRT Chom Thong,420,已匹配stops.zone_id
2,铁路,274,274,SRT วัดไทร;SRT Wat Sai,SRT วัดไทร,SRT Wat Sai,946,已匹配stops.zone_id
2,铁路,275,275,SRT วัดสิงห์;SRT Wat Sing,SRT วัดสิงห์,SRT Wat Sing,946,已匹配stops.zone_id
2,铁路,276,276,SRT บางบอน;SRT Bang Bon,SRT บางบอน,SRT Bang Bon,946,已匹配stops.zone_id
2,铁路,277,277,SRT การเคหะ;SRT Khan Keha,SRT การเคหะ,SRT Khan Keha,946,已匹配stops.zone_id
2,铁路,278,278,SRT รางสะแก;SRT Rang Sakae,SRT รางสะแก,SRT Rang Sakae,96,已匹配stops.zone_id
2,铁路,279,279,SRT รางโพธิ์;SRT Rang Pho,SRT รางโพธิ์,SRT Rang Pho,946,已匹配stops.zone_id
2,铁路,280,280,SRT สามแยก;SRT Sam Yaek,SRT สามแยก,SRT Sam Yaek,946,已匹配stops.zone_id
2,铁路,281,281,SRT พรมแดน;SRT Phrom Daen,SRT พรมแดน,SRT Phrom Daen,946,已匹配stops.zone_id
2,铁路,282,282,SRT บางน้ำจืด;SRT Bang Nam Jued,SRT บางน้ำจืด,SRT Bang Nam Jued,946,已匹配stops.zone_id
2,铁路,283,283,SRT คอกควาย;SRT Khok Khwai,SRT คอกควาย,SRT Khok Khwai,946,已匹配stops.zone_id
2,铁路,284,284,SRT บ้านขอม;SRT Ban Khom,SRT บ้านขอม,SRT Ban Khom,946,已匹配stops.zone_id
2,铁路,285,285,SRT มหาชัย;SRT Maha Chai,SRT มหาชัย,SRT Maha Chai,946,已匹配stops.zone_id
2,铁路,286,286,SRT บ้านแหลม;SRT Ban Laem,SRT บ้านแหลม,SRT Ban Laem,208,已匹配stops.zone_id
2,铁路,287,287,SRT ท่าฉลอม;SRT Tha Chalom,SRT ท่าฉลอม,SRT Tha Chalom,208,已匹配stops.zone_id
2,铁路,288,288,SRT บ้านชีผ้าขาว;SRT Ban Chi Phakhao,SRT บ้านชีผ้าขาว,SRT Ban Chi Phakhao,208,已匹配stops.zone_id
2,铁路,289,289,SRT บางสีคต;SRT Bang Si Khot,SRT บางสีคต,SRT Bang Si Khot,208,已匹配stops.zone_id
2,铁路,290,290,SRT บางกระเจ้า;SRT Bang Krachao,SRT บางกระเจ้า,SRT Bang Krachao,208,已匹配stops.zone_id
2,铁路,291,291,SRT บ้านบ่อ;SRT Ban Bo,SRT บ้านบ่อ,SRT Ban Bo,208,已匹配stops.zone_id
2,铁路,292,292,SRT บางโทรัด;SRT Bang Thorat,SRT บางโทรัด,SRT Bang Thorat,208,已匹配stops.zone_id
2,铁路,293,293,SRT บ้านกาหลง;SRT Ban Ka Long,SRT บ้านกาหลง,SRT Ban Ka Long,208,已匹配stops.zone_id
2,铁路,294,294,SRT บ้านนาขวาง;SRT Ban Na Khwang,SRT บ้านนาขวาง,SRT Ban Na Khwang,208,已匹配stops.zone_id
2,铁路,295,295,SRT บ้านนาโคก;SRT Ban Na Khok,SRT บ้านนาโคก,SRT Ban Na Khok,208,已匹配stops.zone_id
2,铁路,296,296,SRT เขตเมือง;SRT Ked Muang,SRT เขตเมือง,SRT Ked Muang,208,已匹配stops.zone_id
2,铁路,297,297,SRT คลองจาก;SRT Khlong Chak,SRT คลองจาก,SRT Khlong Chak,244,已匹配stops.zone_id
2,铁路,298,298,SRT ทุ่งสีทอง;SRT Thung Si Thong,SRT ทุ่งสีทอง,SRT Thung Si Thong,946,已匹配stops.zone_id
2,铁路,300,300,SRT บางเขน;SRT Bang Khen,SRT บางเขน,SRT Bang Khen,293,已匹配stops.zone_id
2,铁路,301,301,SRT ทุ่งสองห้อง;SRT Thung Song Hong,SRT ทุ่งสองห้อง,SRT Thung Song Hong,166,已匹配stops.zone_id
2,铁路,302,302,SRT หลักสี่;SRT Lak Si,SRT หลักสี่,SRT Lak Si,293,已匹配stops.zone_id
2,铁路,318,318,SRT ลาดใหญ่;SRT Lad Yai,SRT ลาดใหญ่,SRT Lad Yai,208,已匹配stops.zone_id
