交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
2,铁路,5,SRTET,ARL,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน;Airport Rail Link,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน รถไฟฟ้าเชื่อมต่อท่าอากาศยาน;Airport Rail Link Airport Rail Link,2,E32020,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน,Airport Rail Link,素万那普机场捷运（ARL）,公开常见中文功能名（非官方）,https://www.transit.land/routes/r-w4rw-arl
2,铁路,23,SRT,146,อุบลราชธานี - กรุงเทพ;Ubon Ratchathani - Bangkok,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,อุบลราชธานี - กรุงเทพ,Ubon Ratchathani - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,24,SRT,167,กรุงเทพ - กันตัง;Bangkok - Kantang,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,กรุงเทพ - กันตัง,Bangkok - Kantang,,未提供中文；保留泰文/英文原名,
2,铁路,25,SRT,168,กันตัง - กรุงเทพ;Kantang - Bangkok,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,กันตัง - กรุงเทพ,Kantang - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,26,SRT,169,กรุงเทพ - ยะลา;Bangkok - Yala,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,กรุงเทพ - ยะลา,Bangkok - Yala,,未提供中文；保留泰文/英文原名,
2,铁路,27,SRT,170,ยะลา - กรุงเทพ;Yala - Bangkok,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,ยะลา - กรุงเทพ,Yala - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,28,SRT,171,กรุงเทพอภิวัฒน์ - สุไหงโก-ลก;Krung Thep Aphiwat - Sungai Kolok,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,กรุงเทพอภิวัฒน์ - สุไหงโก-ลก,Krung Thep Aphiwat - Sungai Kolok,,未提供中文；保留泰文/英文原名,
2,铁路,29,SRT,172,สุไหงโก-ลก - กรุงเทพอภิวัฒน์;Sungai Kolok - Bangkok (Krung Thep Aphiwat),รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,สุไหงโก-ลก - กรุงเทพอภิวัฒน์,Sungai Kolok - Bangkok (Krung Thep Aphiwat),,未提供中文；保留泰文/英文原名,
2,铁路,30,SRT,173,กรุงเทพ - นครศรีธรรมราช;Bangkok - Nakhon Si Thammarat,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,กรุงเทพ - นครศรีธรรมราช,Bangkok - Nakhon Si Thammarat,,未提供中文；保留泰文/英文原名,
2,铁路,31,SRT,174,นครศรีธรรมราช - กรุงเทพ;Nakhon Si Thammarat - Bangkok,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,นครศรีธรรมราช - กรุงเทพ,Nakhon Si Thammarat - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,34,SRT,201,กรุงเทพ - พิษณุโลก;Bangkok - Phitsanulok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - พิษณุโลก,Bangkok - Phitsanulok,,未提供中文；保留泰文/英文原名,
2,铁路,35,SRT,202,พิษณุโลก - กรุงเทพ;Phitsanulok - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,พิษณุโลก - กรุงเทพ,Phitsanulok - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,36,SRT,207,กรุงเทพ - นครสวรรค์;Bangkok - Nakhon Sawan,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - นครสวรรค์,Bangkok - Nakhon Sawan,,未提供中文；保留泰文/英文原名,
2,铁路,37,SRT,208,นครสวรรค์ - กรุงเทพ;Nakhon Sawan - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,นครสวรรค์ - กรุงเทพ,Nakhon Sawan - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,38,SRT,209,กรุงเทพ - บ้านตาคลี;Bangkok - Ban Takhli,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - บ้านตาคลี,Bangkok - Ban Takhli,,未提供中文；保留泰文/英文原名,
2,铁路,39,SRT,210,บ้านตาคลี - กรุงเทพ;Ban Takhli - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,บ้านตาคลี - กรุงเทพ,Ban Takhli - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,40,SRT,211,กรุงเทพ - ตะพานหิน;Bangkok - Taphan Hin,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - ตะพานหิน,Bangkok - Taphan Hin,,未提供中文；保留泰文/英文原名,
2,铁路,41,SRT,212,ตะพานหิน - กรุงเทพ;Taphan Hin - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ตะพานหิน - กรุงเทพ,Taphan Hin - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,42,SRT,233,กรุงเทพ - สุรินทร์;Bangkok - Surin,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - สุรินทร์,Bangkok - Surin,,未提供中文；保留泰文/英文原名,
2,铁路,43,SRT,234,สุรินทร์ - กรุงเทพ;Surin - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,สุรินทร์ - กรุงเทพ,Surin - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,44,SRT,251,ธนบุรี - ประจวบคีรีขันธ์;Thon Buri - Prachuap Khiri Khan,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ธนบุรี - ประจวบคีรีขันธ์,Thon Buri - Prachuap Khiri Khan,,未提供中文；保留泰文/英文原名,
2,铁路,45,SRT,252,ประจวบคีรีขันธ์ - ธนบุรี;Prachuap Khiri Khan - Thon Buri,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ประจวบคีรีขันธ์ - ธนบุรี,Prachuap Khiri Khan - Thon Buri,,未提供中文；保留泰文/英文原名,
2,铁路,46,SRT,254,หลังสวน - ธนบุรี;Lang Suan - Thon Buri,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,หลังสวน - ธนบุรี,Lang Suan - Thon Buri,,未提供中文；保留泰文/英文原名,
2,铁路,47,SRT,255,ธนบุรี - หลังสวน;Thon Buri - Lang Suan,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ธนบุรี - หลังสวน,Thon Buri - Lang Suan,,未提供中文；保留泰文/英文原名,
2,铁路,48,SRT,257,ธนบุรี - น้ำตก;Thon Buri - Nam Tok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ธนบุรี - น้ำตก,Thon Buri - Nam Tok,,未提供中文；保留泰文/英文原名,
2,铁路,49,SRT,258,น้ำตก - ธนบุรี;Nam Tok - Thon Buri,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,น้ำตก - ธนบุรี,Nam Tok - Thon Buri,,未提供中文；保留泰文/英文原名,
