交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
4,轮渡,2073,ST,เรือด่วนธงแดง,เรือด่วนธงแดง;Red line,เรือด่วนเจ้าพระยา เรือด่วนสายสีแดง;Chao Phraya Express Boat Red line,4,BF1E2E,เรือด่วนธงแดง,Red line,,未提供中文；保留泰文/英文原名,
4,轮渡,2284,ST,เรือข้ามฟาก,ท่าเรือไอคอนสยาม – ท่าเรือสาทร;Iconsiam Pier - Sathon Pier (Ferry),เรือข้ามฟาก เรือข้ามฟาก;Ferry Boat Ferry Boat,4,0000ff,ท่าเรือไอคอนสยาม – ท่าเรือสาทร,Iconsiam Pier - Sathon Pier (Ferry),,未提供中文；保留泰文/英文原名,
4,轮渡,2520,TTA,เรือคลองแสนแสบ,ท่าเรือวัดศรีบุญเรือง - ท่าเรือเขตมีนบุรี;Wat Sriboonreung Pier - Khet Minburi Pier,เรือคลองแสนแสบ เรือคลองแสนแสบ;Khlong Saen Saep Boat San Sab,4,cc00cc,ท่าเรือวัดศรีบุญเรือง - ท่าเรือเขตมีนบุรี,Wat Sriboonreung Pier - Khet Minburi Pier,,未提供中文；保留泰文/英文原名,
4,轮渡,2526,AWM,ท่าเรือปากคลองจิหลาด-เกาะพีพี,ท่าเทียบเรือปากคลองจิหลาด-เกาะพีพี;Klong Jilad Pier - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13a949,ท่าเทียบเรือปากคลองจิหลาด-เกาะพีพี,Klong Jilad Pier - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2527,UT,ท่าเรือปากคลองจิราด - เกาะพีพี,ท่าเทียบเรือปากคลองจิราด - เกาะพีพี;Klong Jilad Pier - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13a949,ท่าเทียบเรือปากคลองจิราด - เกาะพีพี,Klong Jilad Pier - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2528,AWM,ท่าเรือปากคลองจิหลาด-เกาะพีพี,ท่าเทียบเรือปากคลองจิหลาด-เกาะพีพี;Klong Jilad Pier - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13D6D5,ท่าเทียบเรือปากคลองจิหลาด-เกาะพีพี,Klong Jilad Pier - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2529,LS,ท่าเรือปากคลองจิหลาด-ศาลาด่าน,ท่าเทียบเรือปากคลองจิหลาด-ศาลาด่าน ;Klong Jilad Pier - Sala Dan,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,ท่าเทียบเรือปากคลองจิหลาด-ศาลาด่าน,Klong Jilad Pier - Sala Dan,,未提供中文；保留泰文/英文原名,
4,轮渡,2530,KS,ท่าเรือคงคา – เกาะพีพี ,ท่าเทียบคงคา-เกาะพีพี;Kong Ka Pier - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,ท่าเทียบคงคา-เกาะพีพี,Kong Ka Pier - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2531,CG,ท่าเรือคงคา – เกาะพีพี ,ท่าเทียบคงคา-เกาะพีพี;Kong Ka Pier - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,ท่าเทียบคงคา-เกาะพีพี,Kong Ka Pier - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2532,AS,ท่าเทียบคงคา-เกาะพีพี,ท่าเทียบคงคา-เกาะพีพี;Kong Ka Pier - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13D6D5,ท่าเทียบคงคา-เกาะพีพี,Kong Ka Pier - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2533,PPCS,ท่าเทียบคงคา-เกาะพีพี,ท่าเทียบคงคา-เกาะพีพี;Kong Ka Pier - Kong Ka Pier,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13D6D5,ท่าเทียบคงคา-เกาะพีพี,Kong Ka Pier - Kong Ka Pier,,未提供中文；保留泰文/英文原名,
