交通类型代码,交通类型中文,fare_id,price,currency_type,payment_method,transfers,agency_id
0,有轨电车与轻轨,707972,17.00,THB,0,0,SRTET
0,有轨电车与轻轨,707973,12.00,THB,0,0,SRTET
0,有轨电车与轻轨,707974,12.00,THB,0,0,SRTET
0,有轨电车与轻轨,707975,18.00,THB,0,0,SRTET
0,有轨电车与轻轨,707976,29.00,THB,0,0,SRTET
0,有轨电车与轻轨,707977,35.00,THB,0,0,SRTET
0,有轨电车与轻轨,707978,18.00,THB,0,0,SRTET
0,有轨电车与轻轨,707979,12.00,THB,0,0,SRTET
0,有轨电车与轻轨,707980,23.00,THB,0,0,SRTET
0,有轨电车与轻轨,707981,29.00,THB,0,0,SRTET
0,有轨电车与轻轨,707982,29.00,THB,0,0,SRTET
0,有轨电车与轻轨,707983,23.00,THB,0,0,SRTET
0,有轨电车与轻轨,707984,12.00,THB,0,0,SRTET
0,有轨电车与轻轨,707985,18.00,THB,0,0,SRTET
0,有轨电车与轻轨,707986,35.00,THB,0,0,SRTET
0,有轨电车与轻轨,707987,29.00,THB,0,0,SRTET
0,有轨电车与轻轨,707988,18.00,THB,0,0,SRTET
0,有轨电车与轻轨,707989,12.00,THB,0,0,SRTET
0,有轨电车与轻轨,743113,17.00,THB,0,0,BTSC
0,有轨电车与轻轨,743114,17.00,THB,0,0,BTSC
0,有轨电车与轻轨,743115,19.00,THB,0,0,BTSC
0,有轨电车与轻轨,743116,22.00,THB,0,0,BTSC
0,有轨电车与轻轨,743117,24.00,THB,0,0,BTSC
0,有轨电车与轻轨,743118,27.00,THB,0,0,BTSC
0,有轨电车与轻轨,743119,29.00,THB,0,0,BTSC
0,有轨电车与轻轨,743120,32.00,THB,0,0,BTSC
0,有轨电车与轻轨,743121,34.00,THB,0,0,BTSC
0,有轨电车与轻轨,743122,37.00,THB,0,0,BTSC
0,有轨电车与轻轨,743123,39.00,THB,0,0,BTSC
0,有轨电车与轻轨,743124,42.00,THB,0,0,BTSC
0,有轨电车与轻轨,743125,44.00,THB,0,0,BTSC
0,有轨电车与轻轨,743126,45.00,THB,0,0,BTSC
0,有轨电车与轻轨,743127,45.00,THB,0,0,BTSC
0,有轨电车与轻轨,743128,45.00,THB,0,0,BTSC
0,有轨电车与轻轨,743129,45.00,THB,0,0,BTSC
0,有轨电车与轻轨,743130,62.00,THB,0,0,BTSC
0,有轨电车与轻轨,743131,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743132,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743133,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743134,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743135,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743136,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743137,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743138,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743139,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743140,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743141,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743142,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743143,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743144,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743145,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743146,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743147,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743148,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743149,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743150,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743151,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743152,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743153,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743154,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743155,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743156,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743157,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743158,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743159,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743160,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743161,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743162,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743163,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743164,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743165,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743166,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743167,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743168,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743169,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743170,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743171,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743172,65.00,THB,0,0,BTSC
0,有轨电车与轻轨,743173,0.00,THB,0,0,BTSC
0,有轨电车与轻轨,743174,0.00,THB,0,0,BTSC
0,有轨电车与轻轨,743175,0.00,THB,0,0,BTSC
0,有轨电车与轻轨,743176,17.00,THB,0,0,BTSC
0,有轨电车与轻轨,743177,17.00,THB,0,0,BTSC
