国家代码,行政层级,行政层级中文,行政区代码,上级行政区代码,中文名称,泰文名称,英文名称,中文显示名,中文名状态,中心纬度,中心经度,西界经度,南界纬度,东界经度,北界纬度,面积平方公里,邮政编码,边界状态,边界文件,边界要素ID,边界坐标系,边界数据时点,Google原生边界支持,Google地图绘制方式,Wikidata网址,名称与代码来源,中心点来源,边界来源
TH,1,府/特别行政区,42,TH,黎府,เลย,Loei,黎府,府级中文名人工校核,17.4870601,101.6437052,100.8338212,16.7598794,102.1517207,18.2135146,10503.1817359,42,可绘制,泰国_ADM1_府级边界.geojson,TH42,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q275388,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,43,TH,廊开府,หนองคาย,Nong Khai,廊开府,府级中文名人工校核,17.9495494,103.1194868,102.0551399,17.593769,103.4051522,18.3052476,3271.149259,43,可绘制,泰国_ADM1_府级边界.geojson,TH43,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q327737,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,44,TH,玛哈沙拉堪府,มหาสารคาม,Maha Sarakham,玛哈沙拉堪府,府级中文名人工校核,16.02476,103.177468,102.8478628,15.4089582,103.5022814,16.643604,5607.5576898,44,可绘制,泰国_ADM1_府级边界.geojson,TH44,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q468554,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,45,TH,黎逸府,ร้อยเอ็ด,Roi Et,黎逸府,府级中文名人工校核,15.9387766,103.7580957,103.2671172,15.4069784,104.3480046,16.4689122,7819.0536639,45,可绘制,泰国_ADM1_府级边界.geojson,TH45,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q625463,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,46,TH,加拉信府,กาฬสินธุ์,Kalasin,加拉信府,府级中文名人工校核,16.6419437,103.6708287,103.0981159,16.1926372,104.2378579,17.0589148,6888.0701865,46,可绘制,泰国_ADM1_府级边界.geojson,TH46,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q382144,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,47,TH,色军府,สกลนคร,Sakon Nakhon,色军府,府级中文名人工校核,17.4306046,103.6580593,103.2750413,16.776563,104.4350686,18.074326,9526.9688427,47,可绘制,泰国_ADM1_府级边界.geojson,TH47,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q382125,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,48,TH,那空拍侬府,นครพนม,Nakhon Phanom,那空拍侬府,府级中文名人工校核,17.405423,104.6024014,103.9963797,16.8047136,104.8022638,18.0237398,5585.7237096,48,可绘制,泰国_ADM1_府级边界.geojson,TH48,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q468547,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,49,TH,穆达汉府,มุกดาหาร,Mukdahan,穆达汉府,府级中文名人工校核,16.5460371,104.4793361,104.0701069,16.1964443,104.9787239,16.9069347,4111.206272,49,可绘制,泰国_ADM1_府级边界.geojson,TH49,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q335119,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,50,TH,清迈府,เชียงใหม่,Chiang Mai,清迈府,府级中文名人工校核,18.6950486,98.6187525,98.0109426,17.2423147,99.57287,20.1474336,22176.0371039,50|58,可绘制,泰国_ADM1_府级边界.geojson,TH50,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q233588,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,51,TH,南奔府,ลำพูน,Lamphun,南奔府,府级中文名人工校核,18.0669169,98.9397996,98.6712927,17.4258891,99.3173374,18.7083096,4482.900017,51,可绘制,泰国_ADM1_府级边界.geojson,TH51,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q240540,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,52,TH,南邦府,ลำปาง,Lampang,南邦府,府级中文名人工校核,18.3117452,99.5245864,98.8808669,17.2290673,100.1140246,19.4176577,12496.4491905,52,可绘制,泰国_ADM1_府级边界.geojson,TH52,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q240495,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,53,TH,程逸府,อุตรดิตถ์,Uttaradit,程逸府,府级中文名人工校核,17.7600882,100.4460425,99.8944913,17.1651731,101.1844857,18.3810164,7919.2748036,53,可绘制,泰国_ADM1_府级边界.geojson,TH53,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q273794,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,54,TH,帕府,แพร่,Phrae,帕府,府级中文名人工校核,18.2614654,100.1631831,99.3675728,17.7215135,100.5418649,18.8085514,6488.0198621,54,可绘制,泰国_ADM1_府级边界.geojson,TH54,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q244652,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,55,TH,难府,น่าน,Nan,难府,府级中文名人工校核,18.8254887,100.7934225,100.3403838,18.0216974,101.3581471,19.6349375,12190.7054968,55,可绘制,泰国_ADM1_府级边界.geojson,TH55,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q244698,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,56,TH,帕尧府,พะเยา,Phayao,帕尧府,府级中文名人工校核,19.2708787,100.1545569,99.6936154,18.8059555,100.6085655,19.7360621,6195.6066362,56,可绘制,泰国_ADM1_府级边界.geojson,TH56,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q244618,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,57,TH,清莱府,เชียงราย,Chiang Rai,清莱府,府级中文名人工校核,19.732476,99.8835559,99.2647193,19.0001482,100.578173,20.4461716,11584.2664224,57,可绘制,泰国_ADM1_府级边界.geojson,TH57,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q236419,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,58,TH,夜丰颂府,แม่ฮ่องสอน,Mae Hong Son,夜丰颂府,府级中文名人工校核,18.7263268,97.9290661,97.3622421,17.6371783,98.6404718,19.8034391,12771.9775996,58,可绘制,泰国_ADM1_府级边界.geojson,TH58,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q269270,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,60,TH,北榄坡府,นครสวรรค์,Nakhon Sawan,北榄坡府,府级中文名人工校核,15.621457,100.3822954,99.086121,15.0610869,100.8309662,16.1911844,9513.3031535,60,可绘制,泰国_ADM1_府级边界.geojson,TH60,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q239844,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,61,TH,乌泰他尼府,อุทัยธานี,Uthai Thani,乌泰他尼府,府级中文名人工校核,15.3699811,99.5593967,98.984003,14.9620322,100.1018699,15.7982614,6638.4546546,61,可绘制,泰国_ADM1_府级边界.geojson,TH61,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q244649,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,62,TH,甘烹碧府,กำแพงเพชร,Kamphaeng Phet,甘烹碧府,府级中文名人工校核,16.3829321,99.5105933,99.0198075,15.857542,100.0248507,16.8758615,8557.9924761,62,可绘制,泰国_ADM1_府级边界.geojson,TH62,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q273807,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,63,TH,达府,ตาก,Tak,达府,府级中文名人工校核,16.5239444,98.890404,97.7423757,15.1799534,99.455201,17.8677295,17279.6680525,63,可绘制,泰国_ADM1_府级边界.geojson,TH63,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q275758,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,64,TH,素可泰府,สุโขทัย,Sukhothai,素可泰府,府级中文名人工校核,17.2521842,99.7084794,99.3143406,16.6849112,100.1009402,17.8071924,6680.1740552,64,可绘制,泰国_ADM1_府级边界.geojson,TH64,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q380764,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,65,TH,彭世洛府,พิษณุโลก,Phitsanulok,彭世洛府,府级中文名人工校核,17.0312618,100.5392536,99.8534102,16.3207865,101.1079864,17.7436765,10523.2549871,65,可绘制,泰国_ADM1_府级边界.geojson,TH65,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q275781,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,66,TH,披集府,พิจิตร,Phichit,披集府,府级中文名人工校核,16.2836814,100.34298,99.9837253,15.9311283,100.7660667,16.6120697,4336.4050907,66,可绘制,泰国_ADM1_府级边界.geojson,TH66,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q237874,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,67,TH,碧差汶府,เพชรบูรณ์,Phetchabun,碧差汶府,府级中文名人工校核,16.2481492,101.0394477,100.6365252,15.3194217,101.7972481,17.1715371,12388.9845638,67,可绘制,泰国_ADM1_府级边界.geojson,TH67,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q240520,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,70,TH,叻丕府,ราชบุรี,Ratchaburi,叻丕府,府级中文名人工校核,13.5549854,99.6112667,99.1673153,13.1487936,100.0602683,13.9612352,5202.2522467,70,可绘制,泰国_ADM1_府级边界.geojson,TH70,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q335492,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,71,TH,北碧府,กาญจนบุรี,Kanchanaburi,北碧府,府级中文名人工校核,14.693093,99.0742717,98.1811753,13.7258528,99.8758611,15.6524799,19450.9116818,70|71,可绘制,泰国_ADM1_府级边界.geojson,TH71,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q275740,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
